DATE,JPNLORSGPTDSTSAM
2020-11-01,101.759835952565
2020-12-01,101.746093885318
2021-01-01,101.733204609318
2021-02-01,101.721224220348
2021-03-01,101.710196909901
2021-04-01,101.700154351562
2021-05-01,101.69111716774
2021-06-01,101.683096384126
2021-07-01,101.676094871925
2021-08-01,101.670106437181
2021-09-01,101.665114900239
2021-10-01,101.661093165237
2021-11-01,101.658006066638
2021-12-01,101.655813196361
2022-01-01,101.65447171249
2022-02-01,101.653934890994
2022-03-01,101.654150668124
2022-04-01,101.655060173636
2022-05-01,101.656601006495
2022-06-01,101.658710491435
2022-07-01,101.661328917415
2022-08-01,101.664398760257
2022-09-01,101.667863901088
2022-10-01,101.671668840933
2022-11-01,101.675758801821
2022-12-01,101.680079825679
