DATAFLOW,LAST UPDATE,freq,unit,tra_meas,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2017-12,1241390,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-01,1128964,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-02,1173020,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-03,1475967,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-04,1504782,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-05,1665220,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-06,1814052,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-07,1905473,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-08,1919491,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-09,1955797,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-10,1815595,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-11,1553919,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2018-12,1588493,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-01,1389412,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-02,1460635,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-03,1816281,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-04,1895827,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-05,1988801,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-06,2161426,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-07,2215812,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-08,2180008,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-09,2140817,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-10,1966775,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-11,1639044,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2019-12,1691312,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-01,1524910,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-02,1551714,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-03,589167,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-04,7774,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-05,17594,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-06,103486,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-07,501151,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-08,668254,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-09,470076,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-10,290679,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-11,107643,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2020-12,130349,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2021-01,106076,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2021-02,82705,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2021-03,115111,
ESTAT:AVIA_PAOCC(1.0),08/11/23 23:00:00,M,PAS,PAS_BRD,EU27_2020,AT,2021-04,145872,
