"CubeId";"concon"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2013-Q2";"AIK";"-5.61001453"
"2013-Q2";"NIK";"-1.34470499"
"2013-Q3";"VW";"-9.21288014"
"2013-Q3";"EW";"-5.10962579"
"2013-Q3";"VP";"44.02460457"
"2013-Q3";"EP";"51.57651342"
"2013-Q3";"SA";"-70.28530715"
"2013-Q3";"EA";"54.01785714"
"2013-Q3";"VL";"-6.17937231"
"2013-Q3";"EL";"0.9569917"
"2013-Q3";"ASSS";"46.66094535"
"2013-Q3";"ZA";"1.47503346"
"2013-Q3";"ESSS";"25.88967972"
"2013-Q3";"AIK";"-8.07020288"
"2013-Q3";"NIK";"-2.21424323"
"2013-Q4";"VW";"2.72479564"
"2013-Q4";"EW";"5.19946201"
"2013-Q4";"VP";"43.24324324"
"2013-Q4";"EP";"49.54131284"
"2013-Q4";"SA";"-52.36958643"
"2013-Q4";"EA";"44.53551913"
"2013-Q4";"VL";"-3.87333242"
"2013-Q4";"EL";"1.31460206"
"2013-Q4";"ASSS";"42.62468065"
"2013-Q4";"ZA";"-1.3651666"
"2013-Q4";"ESSS";"25.31876138"
"2013-Q4";"AIK";"-3.17567342"
"2013-Q4";"NIK";"0.31889126"
"2014-Q1";"VW";"11.82885906"
"2014-Q1";"EW";"16.29744007"
"2014-Q1";"VP";"45.60394412"
"2014-Q1";"EP";"55.33214138"
"2014-Q1";"SA";"-55.75332794"
"2014-Q1";"EA";"39.76510067"
"2014-Q1";"VL";"-10.49435103"
"2014-Q1";"EL";"1.8832873"
"2014-Q1";"ASSS";"44.09077648"
"2014-Q1";"ZA";"3.48810413"
"2014-Q1";"ESSS";"25.04159734"
"2014-Q1";"AIK";"0.86430601"
"2014-Q1";"NIK";"2.79362012"
"2014-Q2";"VW";"5.45625588"
"2014-Q2";"EW";"4.97007398"
"2014-Q2";"VP";"44.75138122"
"2014-Q2";"EP";"53.12352225"
"2014-Q2";"SA";"-47.83492912"
"2014-Q2";"EA";"30.25447691"
"2014-Q2";"VL";"-6.41125489"
"2014-Q2";"EL";"-0.50176224"
"2014-Q2";"ASSS";"44.09307869"
"2014-Q2";"ZA";"0.73725901"
"2014-Q2";"ESSS";"25.3968254"
"2014-Q2";"AIK";"-0.09733494"
"2014-Q2";"NIK";"-0.30142104"
"2014-Q3";"VW";"6.92520776"
"2014-Q3";"EW";"5.37411508"
"2014-Q3";"VP";"44.55626715"
"2014-Q3";"EP";"53.24570173"
"2014-Q3";"SA";"-50.40544751"
"2014-Q3";"EA";"33.45690454"
"2014-Q3";"VL";"-4.87311832"
"2014-Q3";"EL";"-0.75186633"
"2014-Q3";"ASSS";"47.26646933"
"2014-Q3";"ZA";"9.26577477"
"2014-Q3";"ESSS";"28.47985348"
"2014-Q3";"AIK";"-0.08870058"
"2014-Q3";"NIK";"2.2537263"
"2014-Q4";"VW";"-8.97994769"
"2014-Q4";"EW";"-9.79957418"
"2014-Q4";"VP";"44.61670973"
"2014-Q4";"EP";"48.45224233"
"2014-Q4";"SA";"-54.95842139"
"2014-Q4";"EA";"50.8282476"
"2014-Q4";"VL";"-4.77179444"
"2014-Q4";"EL";"2.00831336"
"2014-Q4";"ASSS";"41.51566472"
"2014-Q4";"ZA";"2.44558115"
"2014-Q4";"ESSS";"19.09328684"
"2014-Q4";"AIK";"-9.8815554"
"2014-Q4";"NIK";"-2.52936853"
"2015-Q1";"VW";"0.92850511"
"2015-Q1";"EW";"-13.64138475"
"2015-Q1";"VP";"32.07720588"
"2015-Q1";"EP";"31.92795033"
"2015-Q1";"SA";"-53.1639606"
"2015-Q1";"EA";"52.08913649"
"2015-Q1";"VL";"-7.9337211"
"2015-Q1";"EL";"0.00517385"
"2015-Q1";"ASSS";"46.53460884"
"2015-Q1";"ZA";"3.44233478"
"2015-Q1";"ESSS";"37.96296296"
"2015-Q1";"AIK";"-6.94059611"
"2015-Q1";"NIK";"-4.5318993"
"2015-Q2";"VW";"-21.99612403"
"2015-Q2";"EW";"-10.23371914"
"2015-Q2";"VP";"-2.78846154"
"2015-Q2";"EP";"9.70954793"
"2015-Q2";"SA";"-71.5327636"
"2015-Q2";"EA";"50.78277886"
"2015-Q2";"VL";"-4.92991125"
"2015-Q2";"EL";"3.18629081"
"2015-Q2";"ASSS";"45.47967516"
"2015-Q2";"ZA";"14.96954078"
"2015-Q2";"ESSS";"30.52837573"
"2015-Q2";"AIK";"-6.82545787"
"2015-Q2";"NIK";"0.7480503"
"2015-Q3";"VW";"-35.59670782"
"2015-Q3";"EW";"-24.3772196"
"2015-Q3";"VP";"-5.05050505"
"2015-Q3";"EP";"16.33874208"
"2015-Q3";"SA";"-77.81225952"
"2015-Q3";"EA";"64.74226804"
"2015-Q3";"VL";"-9.76857093"
"2015-Q3";"EL";"-2.47480997"
"2015-Q3";"ASSS";"41.27096731"
"2015-Q3";"ZA";"6.89695228"
"2015-Q3";"ESSS";"18.36945304"
"2015-Q3";"AIK";"-18.30621114"
"2015-Q3";"NIK";"-7.43091205"
"2015-Q4";"VW";"-29.56273764"
"2015-Q4";"EW";"-12.03615364"
"2015-Q4";"VP";"11.07981221"
"2015-Q4";"EP";"30.87230142"
"2015-Q4";"SA";"-83.13034934"
"2015-Q4";"EA";"73.5042735"
"2015-Q4";"VL";"-8.08330489"
"2015-Q4";"EL";"-1.92600931"
"2015-Q4";"ASSS";"46.66660333"
"2015-Q4";"ZA";"-0.95598723"
"2015-Q4";"ESSS";"22.71442036"
"2015-Q4";"AIK";"-16.18800402"
"2015-Q4";"NIK";"-5.75036377"
"2016-Q1";"VW";"-34.69041561"
"2016-Q1";"EW";"-17.0800404"
"2016-Q1";"VP";"-3.61648444"
"2016-Q1";"EP";"18.6102828"
"2016-Q1";"SA";"-81.59551492"
"2016-Q1";"EA";"68.11594203"
"2016-Q1";"VL";"-7.66294567"
"2016-Q1";"EL";"-1.30828448"
"2016-Q1";"ASSS";"42.96749668"
"2016-Q1";"ZA";"-0.91083969"
"2016-Q1";"ESSS";"28.11176969"
"2016-Q1";"AIK";"-14.59812431"
"2016-Q1";"NIK";"-6.74052756"
"2016-Q2";"VW";"-30.35055351"
"2016-Q2";"EW";"-19.10634303"
"2016-Q2";"VP";"7"
"2016-Q2";"EP";"26.14943572"
"2016-Q2";"SA";"-87.41390594"
"2016-Q2";"EA";"69.90909091"
"2016-Q2";"VL";"-6.97087853"
"2016-Q2";"EL";"-0.42065383"
"2016-Q2";"ASSS";"44.99954075"
"2016-Q2";"ZA";"0.45462335"
"2016-Q2";"ESSS";"27.18181818"
"2016-Q2";"AIK";"-15.56356739"
"2016-Q2";"NIK";"-6.51081301"
"2016-Q3";"VW";"-27.46693795"
"2016-Q3";"EW";"-18.81768269"
"2016-Q3";"VP";"16.7839196"
"2016-Q3";"EP";"30.21158312"
"2016-Q3";"SA";"-77.6460397"
"2016-Q3";"EA";"60.72164948"
"2016-Q3";"VL";"-11.70902383"
"2016-Q3";"EL";"-0.46440634"
"2016-Q3";"ASSS";"38.15638238"
"2016-Q3";"ZA";"0.2040649"
"2016-Q3";"ESSS";"20.25948104"
"2016-Q3";"AIK";"-14.93606437"
"2016-Q3";"NIK";"-7.69676199"
"2016-Q4";"VW";"-18.35564054"
"2016-Q4";"EW";"-2.95414568"
"2016-Q4";"VP";"33.74524715"
"2016-Q4";"EP";"39.43282544"
"2016-Q4";"SA";"-78.26230457"
"2016-Q4";"EA";"57.96545106"
"2016-Q4";"VL";"-10.12416048"
"2016-Q4";"EL";"-4.2191675"
"2016-Q4";"ASSS";"43.63139755"
"2016-Q4";"ZA";"1.18378871"
"2016-Q4";"ESSS";"16.88804554"
"2016-Q4";"AIK";"-12.06267967"
"2016-Q4";"NIK";"-4.02842124"
"2017-Q1";"VW";"-8.69198312"
"2017-Q1";"EW";"13.03669243"
"2017-Q1";"VP";"33.47245409"
"2017-Q1";"EP";"44.21236547"
"2017-Q1";"SA";"-65.16009085"
"2017-Q1";"EA";"48.18871104"
"2017-Q1";"VL";"-13.09939296"
"2017-Q1";"EL";"-2.35328198"
"2017-Q1";"ASSS";"37.8036443"
"2017-Q1";"ZA";"-0.22143931"
"2017-Q1";"ESSS";"21.40439932"
"2017-Q1";"AIK";"-4.02522531"
"2017-Q1";"NIK";"-0.65935546"
"2017-Q2";"VW";"-5.63514804"
