"CubeId";"amarbma"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2015-08";"T0";"136983"
"2015-09";"T0";"138226"
"2015-10";"T0";"141269"
"2015-11";"T0";"148143"
"2015-12";"T0";"158629"
"2016-01";"T0";"163644"
"2016-02";"T0";"161417"
"2016-03";"T0";"155324"
"2016-04";"T0";"149540"
"2016-05";"T0";"144778"
"2016-06";"T0";"139127"
"2016-07";"T0";"139310"
"2016-08";"T0";"142858"
"2016-09";"T0";"142675"
"2016-10";"T0";"144531"
"2016-11";"T0";"149228"
"2016-12";"T0";"159372"
"2017-01";"T0";"164466"
"2017-02";"T0";"159809"
"2017-03";"T0";"152280"
"2017-04";"T0";"146327"
"2017-05";"T0";"139778"
"2017-06";"T0";"133603"
"2017-07";"T0";"133926"
"2017-08";"T0";"135578"
"2017-09";"T0";"133169"
"2017-10";"T0";"134800"
"2017-11";"T0";"137317"
"2017-12";"T0";"146654"
"2018-01";"T0";"149161"
"2018-02";"T0";"143930"
"2018-03";"T0";"130413"
"2018-04";"T0";"119781"
"2018-05";"T0";"109392"
"2018-06";"T0";"106579"
"2018-07";"T0";"106052"
"2018-08";"T0";"107893"
"2018-09";"T0";"106586"
"2018-10";"T0";"107315"
"2018-11";"T0";"110474"
"2018-12";"T0";"119661"
"2019-01";"T0";"123962"
"2019-02";"T0";"119473"
"2019-03";"T0";"112341"
"2019-04";"T0";"107298"
"2019-05";"T0";"101370"
"2019-06";"T0";"97222"
"2019-07";"T0";"97578"
"2019-08";"T0";"99552"
"2019-09";"T0";"99098"
"2019-10";"T0";"101684"
"2019-11";"T0";"106330"
"2019-12";"T0";"117277"
"2020-01";"T0";"121018"
"2020-02";"T0";"117822"
"2020-03";"T0";"135624"
"2020-04";"T0";"153413"
"2020-05";"T0";"155998"
"2020-06";"T0";"150289"
"2020-07";"T0";"148870"
"2020-08";"T0";"151111"
"2020-09";"T0";"148560"
"2020-10";"T0";"149118"
"2020-11";"T0";"153270"
"2020-12";"T0";"163545"
"2021-01";"T0";"169753"
"2021-02";"T0";"167953"
"2021-03";"T0";"157968"
"2021-04";"T0";"151279"
"2021-05";"T0";"142966"
"2021-06";"T0";"131821"
"2021-07";"T0";"128279"
"2021-08";"T0";"126355"
"2021-09";"T0";"120294"
"2021-10";"T0";"116733"
"2021-11";"T0";"116244"
"2021-12";"T0";"121728"
"2022-01";"T0";"122268"
"2022-02";"T0";"117970"
"2022-03";"T0";"109500"
"2022-04";"T0";"104391"
"2022-05";"T0";"98004"
"2022-06";"T0";"92511"
"2022-07";"T0";"91474"
"2022-08";"T0";"91372"
"2022-09";"T0";"89526"
"2022-10";"T0";"89636"
"2022-11";"T0";"91327"
"2022-12";"T0";"96941"
