"CubeId";"zimoma"
"PublishingDate";"2023-11-01 14:30"

"Date";"D0";"Value"
"2008-06";"EURIBOR";"4.947"
"2008-07";"SARON";"1.955679"
"2008-07";"1TGT";"1.97"
"2008-07";"EG3M";"1.413"
"2008-07";"3M0";"2.75583"
"2008-07";"SOFR";
"2008-07";"3M1";"2.79125"
"2008-07";"TONA";"0.519"
"2008-07";"3M2";"0.9025"
"2008-07";"SONIA";"4.9592"
"2008-07";"3M3";"5.78313"
"2008-07";"ESTR";
"2008-07";"EURIBOR";"4.968"
"2008-08";"SARON";"1.933609"
"2008-08";"1TGT";"1.98"
"2008-08";"EG3M";"1.521"
"2008-08";"3M0";"2.745"
"2008-08";"SOFR";
"2008-08";"3M1";"2.81063"
"2008-08";"TONA";"0.516"
"2008-08";"3M2";"0.88125"
"2008-08";"SONIA";"5.035"
"2008-08";"3M3";"5.75313"
"2008-08";"ESTR";
"2008-08";"EURIBOR";"4.963"
"2008-09";"SARON";"1.666335"
"2008-09";"1TGT";"1.7"
"2008-09";"EG3M";"0.004"
"2008-09";"3M0";"2.955"
"2008-09";"SOFR";
"2008-09";"3M1";"4.0525"
"2008-09";"TONA";"0.544"
"2008-09";"3M2";"1.015"
"2008-09";"SONIA";"5.0906"
"2008-09";"3M3";"6.3"
"2008-09";"ESTR";
"2008-09";"EURIBOR";"5.277"
"2008-10";"SARON";"0.522862"
"2008-10";"1TGT";"0.3"
"2008-10";"EG3M";"0"
"2008-10";"3M0";"2.71833"
"2008-10";"SOFR";
"2008-10";"3M1";"3.02625"
"2008-10";"TONA";"0.384"
"2008-10";"3M2";"0.94063"
"2008-10";"SONIA";"4.2961"
"2008-10";"3M3";"5.84125"
"2008-10";"ESTR";
"2008-10";"EURIBOR";"4.76"
"2008-11";"SARON";"0.03909"
"2008-11";"1TGT";"0.05"
"2008-11";"EG3M";"0.348"
"2008-11";"3M0";"1.255"
"2008-11";"SOFR";
"2008-11";"3M1";"2.21688"
"2008-11";"TONA";"0.318"
"2008-11";"3M2";"0.935"
"2008-11";"SONIA";"2.646"
"2008-11";"3M3";"3.91"
"2008-11";"ESTR";
"2008-11";"EURIBOR";"3.853"
"2008-12";"SARON";"0.019608"
"2008-12";"1TGT";"0.01"
"2008-12";"EG3M";"0"
"2008-12";"3M0";"0.66167"
"2008-12";"SOFR";
"2008-12";"3M1";"1.425"
"2008-12";"TONA";"0.103"
"2008-12";"3M2";"0.8325"
"2008-12";"SONIA";"1.5373"
"2008-12";"3M3";"2.77"
"2008-12";"ESTR";
"2008-12";"EURIBOR";"2.892"
"2009-01";"SARON";"0.080879"
"2009-01";"1TGT";"0"
"2009-01";"EG3M";"0"
"2009-01";"3M0";"0.52667"
"2009-01";"SOFR";
"2009-01";"3M1";"1.18438"
"2009-01";"TONA";"0.128"
"2009-01";"3M2";"0.67063"
"2009-01";"SONIA";"1.3414"
"2009-01";"3M3";"2.16563"
"2009-01";"ESTR";
"2009-01";"EURIBOR";"2.086"
"2009-02";"SARON";"0.035864"
"2009-02";"1TGT";"0"
"2009-02";"EG3M";"0"
"2009-02";"3M0";"0.495"
"2009-02";"SOFR";
"2009-02";"3M1";"1.26438"
"2009-02";"TONA";"0.109"
"2009-02";"3M2";"0.6375"
"2009-02";"SONIA";"0.9025"
"2009-02";"3M3";"2.04938"
"2009-02";"ESTR";
"2009-02";"EURIBOR";"1.825"
"2009-03";"SARON";"0.031394"
"2009-03";"1TGT";"0.05"
"2009-03";"EG3M";"0"
